Name,Year,Value
BMW,2001,0
BMW,2002,0
BMW,2003,0
BMW,2004,0
BMW,2005,0
BMW,2006,0
BMW,2007,39.95
BMW,2008,19.19
BMW,2009,29.16
BMW,2010,49.84
BMW,2011,42.88
BMW,2012,61.55
BMW,2013,75.5
BMW,2014,70.22
BMW,2015,68.9
BMW,2016,60.71
BMW,2017,67.33
BMW,2018,52.67
BMW,2019,52.83
BMW,2020,57.39
BMW,2021,65.11
BMW,2022,58.6
BMW,2023,65.74
BYD,2001,0
BYD,2002,0
BYD,2003,0
BYD,2004,0
BYD,2005,0
BYD,2006,0
BYD,2007,0
BYD,2008,0
BYD,2009,0
BYD,2010,0
BYD,2011,7.36
BYD,2012,7.47
BYD,2013,13.61
BYD,2014,13.2
BYD,2015,20.55
BYD,2016,17.78
BYD,2017,26.03
BYD,2018,19.28
BYD,2019,16.94
BYD,2020,78.03
BYD,2021,122.49
BYD,2022,93.89
BYD,2023,92.72
Ferrari,2001,0
Ferrari,2002,0
Ferrari,2003,0
Ferrari,2004,0
Ferrari,2005,0
Ferrari,2006,0
Ferrari,2007,0
Ferrari,2008,0
Ferrari,2009,0
Ferrari,2010,0
Ferrari,2011,0
Ferrari,2012,0
Ferrari,2013,0
Ferrari,2014,0
Ferrari,2015,11.54
Ferrari,2016,14.26
Ferrari,2017,25.62
Ferrari,2018,24.26
Ferrari,2019,41.19
Ferrari,2020,57.56
Ferrari,2021,47.35
Ferrari,2022,39.36
Ferrari,2023,53.23
Honda,2001,39.71
Honda,2002,35.19
Honda,2003,43.84
Honda,2004,48.42
Honda,2005,53.79
Honda,2006,72.1
Honda,2007,60.13
Honda,2008,39.15
Honda,2009,60.92
Honda,2010,71.09
Honda,2011,54.46
Honda,2012,65.92
Honda,2013,74.37
Honda,2014,53.19
Honda,2015,58.48
Honda,2016,52.91
Honda,2017,60.84
Honda,2018,46.17
Honda,2019,49.73
Honda,2020,48.17
Honda,2021,48.04
Honda,2022,38.67
Honda,2023,53.92
Mercedes,2001,50.86
Mercedes,2002,31.17
Mercedes,2003,47.18
Mercedes,2004,48.44
Mercedes,2005,52.01
Mercedes,2006,63.5
Mercedes,2007,98.44
Mercedes,2008,34.61
Mercedes,2009,54.62
Mercedes,2010,71.93
Mercedes,2011,46.84
Mercedes,2012,58.35
Mercedes,2013,92.92
Mercedes,2014,89.73
Mercedes,2015,90.74
Mercedes,2016,80
Mercedes,2017,90.44
Mercedes,2018,56.18
Mercedes,2019,56.16
Mercedes,2020,76.04
Mercedes,2021,81.88
Mercedes,2022,70.09
Mercedes,2023,72.84
Porsche,2001,0
Porsche,2002,0
Porsche,2003,0
Porsche,2004,0
Porsche,2005,0
Porsche,2006,0
Porsche,2007,0
Porsche,2008,0
Porsche,2009,0
Porsche,2010,0
Porsche,2011,0
Porsche,2012,0
Porsche,2013,0
Porsche,2014,0
Porsche,2015,0
Porsche,2016,0
Porsche,2017,0
Porsche,2018,0
Porsche,2019,0
Porsche,2020,0
Porsche,2021,0
Porsche,2022,92.11
Porsche,2023,85.61
Stellantis,2001,0
Stellantis,2002,0
Stellantis,2003,0
Stellantis,2004,0
Stellantis,2005,0
Stellantis,2006,0
Stellantis,2007,0
Stellantis,2008,0
Stellantis,2009,0
Stellantis,2010,0
Stellantis,2011,0
Stellantis,2012,0
Stellantis,2013,9.87
Stellantis,2014,19.77
Stellantis,2015,23.98
Stellantis,2016,15.55
Stellantis,2017,34.64
Stellantis,2018,28.42
Stellantis,2019,29.21
Stellantis,2020,36.5
Stellantis,2021,58.76
Stellantis,2022,45.62
Stellantis,2023,57.68
Tesla,2001,0
Tesla,2002,0
Tesla,2003,0
Tesla,2004,0
Tesla,2005,0
Tesla,2006,0
Tesla,2007,0
Tesla,2008,0
Tesla,2009,0
Tesla,2010,2.52
Tesla,2011,2.97
Tesla,2012,3.86
Tesla,2013,18.51
Tesla,2014,27.95
Tesla,2015,31.54
Tesla,2016,34.42
Tesla,2017,52.32
Tesla,2018,57.44
Tesla,2019,75.71
Tesla,2020,668.9
Tesla,2021,1061
Tesla,2022,388.97
Tesla,2023,824.18
Toyota,2001,93.89
Toyota,2002,96.72
Toyota,2003,118.64
Toyota,2004,136.33
Toyota,2005,170.95
Toyota,2006,217.7
Toyota,2007,169.76
Toyota,2008,102.62
Toyota,2009,130.75
Toyota,2010,123.89
Toyota,2011,103.51
Toyota,2012,147.05
Toyota,2013,193.9
Toyota,2014,198.99
Toyota,2015,191.06
Toyota,2016,197.39
Toyota,2017,191.03
Toyota,2018,165.27
Toyota,2019,196.93
Toyota,2020,215.71
Toyota,2021,252.82
Toyota,2022,186.35
Toyota,2023,236.38
Volkswagen,2001,15.42
Volkswagen,2002,11.08
Volkswagen,2003,15.31
Volkswagen,2004,14
Volkswagen,2005,16.34
Volkswagen,2006,31.69
Volkswagen,2007,61.99
Volkswagen,2008,51.2
Volkswagen,2009,42.27
Volkswagen,2010,68.89
Volkswagen,2011,64.99
Volkswagen,2012,102.37
Volkswagen,2013,128.25
Volkswagen,2014,105.52
Volkswagen,2015,76.13
Volkswagen,2016,71.97
Volkswagen,2017,100.48
Volkswagen,2018,79.25
Volkswagen,2019,98.16
Volkswagen,2020,100.86
Volkswagen,2021,128
Volkswagen,2022,72.28
Volkswagen,2023,61.02
