Region,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
North America,United States of America,"1,811,834","1,698,021","2,124,664","2,227,595","2,428,390","2,492,722","2,413,162","2,473,940","2,398,415","2,335,379","2,220,260","2,243,788","2,063,425"
North America,Canada,"166,488","166,446","188,171","197,639","203,402","213,146","217,353","226,318","232,953","228,449","198,644","219,185","204,141"
North America,Mexico,"49,202","48,641","56,727","61,606","73,496","89,079","108,240","105,471","109,058","103,876","74,188","93,184","96,999"
North America,Other,"26,163","25,613","28,472","28,220","24,554","23,707","25,720","25,506","33,365","28,743","29,904","35,166","35,489"
Latin America,Brazil,"98,614","96,698","134,489","178,095","201,420","174,644","179,640","196,705","204,808","207,211","131,724","181,479","192,269"
Latin America,Argentina,"33,344","39,515","48,959","58,657","62,827","70,554","82,038","97,513","81,234","53,712","57,528","71,134","92,073"
Latin America,Other,"142,350","124,783","158,649","159,166","141,696","129,478","134,088","137,621","141,809","130,985","94,037","155,101","198,787"
Europe,United Kingdom,"96,423","93,208","102,209","109,446","119,605","124,272","123,368","122,725","124,642","125,611","111,219","131,886","132,748"
Europe,Russia,"106,331","139,208","166,261","177,673","172,225","118,835","117,472","119,403","133,804","133,777","110,421","109,485","3,105"
Europe,France,"73,137","70,371","75,899","79,969","77,911","84,707","92,439","98,948","107,165","119,105","110,523","104,496","124,601"
Europe,Italy,"79,085","63,909","54,837","59,720","65,615","73,818","82,509","90,083","91,375","91,911","88,511","84,930","109,617"
Europe,Germany,"83,577","82,802","78,381","75,948","70,693","69,736","80,406","86,889","87,687","91,232","83,384","81,177","91,605"
Europe,Spain,"45,550","43,007","35,080","40,589","48,808","59,010","65,882","74,095","80,618","79,819","69,785","75,412","92,091"
Europe,Other,"329,432","297,209","279,371","300,986","304,497","324,254","362,584","388,895","376,958","403,912","402,383","435,953","490,555"
Asia,China,"886,442","898,660","826,800","974,764","1,047,622","1,201,355","1,230,777","1,328,467","1,510,122","1,543,628","2,000,084","1,915,128","1,875,908"
Asia,Indonesia,"299,557","326,651","400,717","437,995","363,597","337,647","397,442","364,149","346,858","322,873","171,251","312,301","336,298"
Asia,Thailand,"349,757","317,699","520,119","404,457","312,854","246,476","253,333","245,612","337,125","302,295","244,086","260,936","286,787"
Asia,Philippines,"58,359","53,393","69,812","81,354","111,098","127,709","168,919","177,659","152,118","154,153","107,418","133,802","182,081"
Asia,Taiwan,"114,988","117,306","120,785","125,328","143,755","128,709","137,175","129,196","118,784","145,347","152,248","142,200","143,130"
Asia,Malaysia,"92,936","90,143","104,046","96,786","95,606","89,746","71,317","66,579","67,600","66,727","65,888","77,690","103,807"
Asia,Pakistan,"48,456","47,793","41,643","38,385","48,818","65,086","62,668","61,837","67,058","41,294","46,850","72,155","44,865"
Asia,Vietnam,"31,677","27,619","25,947","34,341","44,851","52,664","59,974","59,042","73,334","75,376","71,786","74,373","87,473"
Asia,South Korea,"10,769","10,177","14,732","12,851","14,414","15,476","21,818","26,366","29,856","18,584","15,674","15,510","16,250"
Asia,India,0,0,0,0,0,0,0,0,0,0,0,"128,266","173,439"
Asia,Other,"103,275","171,048","183,758","167,850","170,458","163,116","179,791","180,193","189,074","152,073","121,492","25,855","25,814"
Japan,Japan,"1,407,141","1,412,999","1,612,097","1,648,234","1,466,302","1,488,679","1,636,495","1,597,471","1,569,566","1,587,297","1,538,224","1,395,920","1,407,158"
Oceania,Australia,"217,374","187,328","225,790","221,759","211,457","212,807","220,728","229,258","223,096","215,720","220,403","234,091","221,274"
Oceania,New Zealand,"29,573","27,723","34,900","36,040","37,504","37,967","38,653","44,361","41,283","40,208","31,627","40,700","42,900"
Middle East,United Arab Emirates,"505,593","481,722","657,464","672,636","699,805","655,657","475,892","405,253","348,394","377,220","280,563","338,319","409,706"
Middle East,Other,"65,454","45,993","68,593","94,394","97,194","76,985","72,853","75,162","69,813","86,366","70,908","91,699","104,045"
Africa,South Africa,"101,527","104,868","121,305","123,984","123,950","115,470","119,731","123,960","130,297","120,122","89,832","127,620","125,237"
Africa,Other,"93,970","100,521","123,865","125,350","122,370","93,505","63,666","59,286","65,905","80,437","74,633","102,617","96,328"
