country,lat,long,plants_count
Japan,36.204824,138.252924,12
USA,37.09024,-95.712891,9
Canada,56.130366,-106.346771,2
Mexico,23.634501,-102.552784,1
Argentina,-38.416097,-63.616672,1
Brazil,-14.235004,-51.92528,1
Venezuela,6.42375,-66.58973,1
Poland,51.919438,19.145136,2
France,46.227638,2.213749,1
UK,55.378051,-3.435973,1
Turkey,38.963745,35.243322,1
Russia,61.52401,105.318756,1
Czech,49.817492,15.472962,1
Portugal,39.399872,-8.224454,1
South Africa,-30.559482,22.937506,1
Kenya,-0.023559,37.906193,1
Egypt,26.820553,30.802498,1
India,20.593684,78.96288,2
Pakistan,30.375321,69.345116,1
Taiwan,23.69781,120.960515,1
Indonesia ,-0.789275,113.921327,3
Thailand,15.870032,100.992541,2
Malaysia,4.210484,101.975766,1
Philiphines,12.879721,121.774017,2
Vietnam,14.058324,108.277199,1
Bangladesh,23.684994,90.356331,1
China,35.86166,104.195397,9
Australia,-25.274398,133.775136,1
