Region,Country,Type,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
North America,United States of America,Production,945432,883442,1225567,1281450,1336006,1361240,1370226,1249115,1209141,1163699,1011496,1145535,1125032
North America,Canada,Production,458592,422926,485198,509646,614702,599370,606787,543250,465617,477875,452723,393166,454314
North America,Mexico,Production,54048,50351,56322,66881,72957,126810,143926,150902,198745,182093,182324,236956,263136
Latin America,Brazil,Production,66237,67768,98297,140178,168552,175026,177390,203000,212981,174004,114009,188872,227374
Latin America,Argentina,Production,69950,72925,94926,94792,93997,77290,104854,130350,140398,119307,98504,146534,171087
Latin America,Venezuela,Production,14061,10456,11136,7122,3872,2238,830,1040,542,491,0,0,0
Europe,United Kingdom,Production,136927,123747,120366,180647,171560,195917,170656,140781,126521,148514,127442,120003,99230
Europe,Turkey,Production,83384,88723,64509,125749,126579,110653,199130,274548,256523,249014,225186,220463,201307
Europe,France,Production,158504,170817,184055,200160,235676,226683,236289,235669,251669,214656,200195,196460,266709
Europe,Russia,Production,0,0,0,0,22647,31681,31277,30050,44667,61941,67283,72503,0
Europe,Czech Republic,Production,82920,88716,70314,69617,80429,90009,88598,91204,100794,98573,77280,97303,204061
Europe,Kazakhstan,Production,0,0,0,0,750,324,48,0,0,0,0,0,0
Asia,Indonesia,Production,264622,324900,416260,430070,412114,353514,406861,347892,179408,185838,106661,215644,264440
Asia,Thailand,Production,629944,560604,885032,832729,696227,580800,530269,540053,609032,532685,457102,551660,667522
Asia,Philippines,Production,28432,26465,30718,38334,43260,48394,60275,57824,44516,52492,37630,47370,55044
Asia,Malaysia,Production,65137,62721,70719,63763,72348,71330,50891,56653,48993,54175,56329,58408,86972
Asia,Taiwan,Production,117696,155339,167480,172888,202722,176636,132778,111561,84672,106710,98960,114915,125082
Asia,Vietnam,Production,30618,25614,22809,30942,39046,45626,50112,43994,50900,50734,40286,29283,33786
Asia,India,Production,75515,161321,189393,154218,159591,146967,153980,153540,159892,100606,53310,74764,176588
Asia,China,Production,769941,821397,712656,889917,940811,1071344,1103762,1141901,1350749,1311208,1716624,1700928,1766518
Asia,Pakistan,Production,45577,47216,39904,38347,47142,64998,61989,60455,66352,41016,45913,71285,43794
Asia,Myanmar,Production,0,0,0,0,0,0,0,0,0,0,0,0,193
Japan,Japan,Production,3282855,3119709,3368940,3377598,3185473,3171757,3187999,3198912,3212906,3303688,2918905,2760843,2786801
Oceania,Australia,Production,119473,93094,99440,102590,88416,95198,87464,42817,0,0,0,0,0
Africa,Africa,Production,123484,151411,150478,138412,133566,106997,123171,117944,122170,111353,94782,128344,111257
Africa,South Africa,Production,123484,151409,148424,138109,132239,105209,122081,117297,121239,110184,93370,125700,108725
Africa,Egypt,Production,0,2,2054,303,1327,1788,1090,647,931,774,720,1205,1406
Africa,Kenya,Production,0,0,0,0,0,0,0,0,0,395,692,1060,781
Africa,Ghana,Production,0,0,0,0,0,0,0,0,0,0,,379,345
North America,United States of America,Sales,1811834,1698021,2124664,2227595,2428390,2492722,2413162,2473940,2398415,2335379,2220260,2243788,2063425
North America,Canada,Sales,166488,166446,188171,197639,203402,213146,217353,226318,232953,228449,198644,219185,204141
North America,Mexico,Sales,49202,48641,56727,61606,73496,89079,108240,105471,109058,103876,74188,93184,96999
North America,Other,Sales,26163,25613,28472,28220,24554,23707,25720,25506,33365,28743,29904,35166,35489
Latin America,Brazil,Sales,98614,96698,134489,178095,201420,174644,179640,196705,204808,207211,131724,181479,192269
Latin America,Argentina,Sales,33344,39515,48959,58657,62827,70554,82038,97513,81234,53712,57528,71134,92073
Latin America,Other,Sales,142350,124783,158649,159166,141696,129478,134088,137621,141809,130985,94037,155101,198787
Europe,United Kingdom,Sales,96423,93208,102209,109446,119605,124272,123368,122725,124642,125611,111219,131886,132748
Europe,Russia,Sales,106331,139208,166261,177673,172225,118835,117472,119403,133804,133777,110421,109485,3105
Europe,France,Sales,73137,70371,75899,79969,77911,84707,92439,98948,107165,119105,110523,104496,124601
Europe,Italy,Sales,79085,63909,54837,59720,65615,73818,82509,90083,91375,91911,88511,84930,109617
Europe,Germany,Sales,83577,82802,78381,75948,70693,69736,80406,86889,87687,91232,83384,81177,91605
Europe,Spain,Sales,45550,43007,35080,40589,48808,59010,65882,74095,80618,79819,69785,75412,92091
Europe,Other,Sales,329432,297209,279371,300986,304497,324254,362584,388895,376958,403912,402383,435953,490555
Asia,China,Sales,886442,898660,826800,974764,1047622,1201355,1230777,1328467,1510122,1543628,2000084,1915128,1875908
Asia,Indonesia,Sales,299557,326651,400717,437995,363597,337647,397442,364149,346858,322873,171251,312301,336298
Asia,Thailand,Sales,349757,317699,520119,404457,312854,246476,253333,245612,337125,302295,244086,260936,286787
Asia,Philippines,Sales,58359,53393,69812,81354,111098,127709,168919,177659,152118,154153,107418,133802,182081
Asia,Taiwan,Sales,114988,117306,120785,125328,143755,128709,137175,129196,118784,145347,152248,142200,143130
Asia,Malaysia,Sales,92936,90143,104046,96786,95606,89746,71317,66579,67600,66727,65888,77690,103807
Asia,Pakistan,Sales,48456,47793,41643,38385,48818,65086,62668,61837,67058,41294,46850,72155,44865
Asia,Vietnam,Sales,31677,27619,25947,34341,44851,52664,59974,59042,73334,75376,71786,74373,87473
Asia,South Korea,Sales,10769,10177,14732,12851,14414,15476,21818,26366,29856,18584,15674,15510,16250
Asia,India,Sales,0,0,0,0,0,0,0,0,0,0,0,128266,173439
Asia,Other,Sales,103275,171048,183758,167850,170458,163116,179791,180193,189074,152073,121492,25855,25814
Japan,Japan,Sales,1407141,1412999,1612097,1648234,1466302,1488679,1636495,1597471,1569566,1587297,1538224,1395920,1407158
Oceania,Australia,Sales,217374,187328,225790,221759,211457,212807,220728,229258,223096,215720,220403,234091,221274
Oceania,New Zealand,Sales,29573,27723,34900,36040,37504,37967,38653,44361,41283,40208,31627,40700,42900
Middle East,United Arab Emirates,Sales,505593,481722,657464,672636,699805,655657,475892,405253,348394,377220,280563,338319,409706
Middle East,Other,Sales,65454,45993,68593,94394,97194,76985,72853,75162,69813,86366,70908,91699,104045
Africa,South Africa,Sales,101527,104868,121305,123984,123950,115470,119731,123960,130297,120122,89832,127620,125237
Africa,Other,Sales,93970,100521,123865,125350,122370,93505,63666,59286,65905,80437,74633,102617,96328
